year,age,race,d,e,m,type
2012,37,o,NA,NA,7.654329163135314,m_smoothed
2012,38,o,NA,NA,7.752632665964926,m_smoothed
2012,39,o,NA,NA,7.8454297696660715,m_smoothed
2012,40,o,NA,NA,7.907527030987826,m_smoothed
2012,41,o,NA,NA,7.922895729228738,m_smoothed
2012,42,o,NA,NA,7.9093631207254305,m_smoothed
2012,43,o,NA,NA,7.892281392102654,m_smoothed
2012,44,o,NA,NA,7.896892640943971,m_smoothed
2012,45,o,NA,NA,7.948619093458009,m_smoothed
2012,46,o,NA,NA,8.065989132080258,m_smoothed
2012,47,o,NA,NA,8.231054626874727,m_smoothed
2012,48,o,NA,NA,8.413800860145681,m_smoothed
2012,49,o,NA,NA,8.581728915457116,m_smoothed
2012,50,o,NA,NA,8.699816595171253,m_smoothed
2012,51,o,NA,NA,8.734471523029923,m_smoothed
2012,52,o,NA,NA,8.67007894365926,m_smoothed
2012,53,o,NA,NA,8.500822115058366,m_smoothed
2012,54,o,NA,NA,8.225126029132472,m_smoothed
2012,55,o,NA,NA,7.846215795866191,m_smoothed
2012,56,o,NA,NA,7.374379868700625,m_smoothed
2012,57,o,NA,NA,6.840494086834556,m_smoothed
2012,58,o,NA,NA,6.28101102035434,m_smoothed
2012,59,o,NA,NA,5.725844883035308,m_smoothed
2012,60,o,NA,NA,5.197630039194809,m_smoothed
2012,61,o,NA,NA,4.7113824293333755,m_smoothed
2012,62,o,NA,NA,4.26844592685075,m_smoothed
2012,63,o,NA,NA,3.863826833631773,m_smoothed
2012,64,o,NA,NA,3.493249598388031,m_smoothed
2012,65,o,NA,NA,3.1531405092292455,m_smoothed
2012,66,o,NA,NA,2.8407067858231514,m_smoothed
2012,67,o,NA,NA,2.556805707491638,m_smoothed
2012,68,o,NA,NA,2.3038802525767257,m_smoothed
2012,69,o,NA,NA,2.0827252438388832,m_smoothed
2012,70,o,NA,NA,1.8929232691486704,m_smoothed
2012,71,o,NA,NA,1.7334234769431869,m_smoothed
